Account Number,Start date/time,End date/time,Total Consumption (Unit)
"41951390942","24/03/2021 00:00","24/03/2021 01:00",0.1
"41951390942","24/03/2021 01:00","24/03/2021 02:00",0.1
"41951390942","24/03/2021 02:00","24/03/2021 03:00",0.1
"41951390942","24/03/2021 03:00","24/03/2021 04:00",0.1
"41951390942","24/03/2021 04:00","24/03/2021 05:00",0.0
"41951390942","24/03/2021 05:00","24/03/2021 06:00",0.3
"41951390942","24/03/2021 06:00","24/03/2021 07:00",0.5
"41951390942","24/03/2021 07:00","24/03/2021 08:00",0.1
"41951390942","24/03/2021 08:00","24/03/2021 09:00",0.2
"41951390942","24/03/2021 09:00","24/03/2021 10:00",0.1
"41951390942","24/03/2021 10:00","24/03/2021 11:00",0.1
"41951390942","24/03/2021 11:00","24/03/2021 12:00",0.1
"41951390942","24/03/2021 12:00","24/03/2021 13:00",0.1
"41951390942","24/03/2021 13:00","24/03/2021 14:00",0.2
"41951390942","24/03/2021 14:00","24/03/2021 15:00",0.1
"41951390942","24/03/2021 15:00","24/03/2021 16:00",0.1
"41951390942","24/03/2021 16:00","24/03/2021 17:00",0.2
"41951390942","24/03/2021 17:00","24/03/2021 18:00",0.3
"41951390942","24/03/2021 18:00","24/03/2021 19:00",0.3
"41951390942","24/03/2021 19:00","24/03/2021 20:00",0.3
"41951390942","24/03/2021 20:00","24/03/2021 21:00",0.2
"41951390942","24/03/2021 21:00","24/03/2021 22:00",0.4
"41951390942","24/03/2021 22:00","24/03/2021 23:00",0.2
"41951390942","24/03/2021 23:00","24/03/2021 23:59",0.1
"41951390942","25/03/2021 00:00","25/03/2021 01:00",0.1
"41951390942","25/03/2021 01:00","25/03/2021 02:00",0.1
"41951390942","25/03/2021 02:00","25/03/2021 03:00",0.1
"41951390942","25/03/2021 03:00","25/03/2021 04:00",0.1
"41951390942","25/03/2021 04:00","25/03/2021 05:00",0.1
"41951390942","25/03/2021 05:00","25/03/2021 06:00",0.6
"41951390942","25/03/2021 06:00","25/03/2021 07:00",0.3
"41951390942","25/03/2021 07:00","25/03/2021 08:00",0.2
"41951390942","25/03/2021 08:00","25/03/2021 09:00",0.1
"41951390942","25/03/2021 09:00","25/03/2021 10:00",0.1
"41951390942","25/03/2021 10:00","25/03/2021 11:00",0.1
"41951390942","25/03/2021 11:00","25/03/2021 12:00",0.1
"41951390942","25/03/2021 12:00","25/03/2021 13:00",0.1
"41951390942","25/03/2021 13:00","25/03/2021 14:00",0.1
"41951390942","25/03/2021 14:00","25/03/2021 15:00",0.0
"41951390942","25/03/2021 15:00","25/03/2021 16:00",0.1
"41951390942","25/03/2021 16:00","25/03/2021 17:00",0.2
"41951390942","25/03/2021 17:00","25/03/2021 18:00",0.4
"41951390942","25/03/2021 18:00","25/03/2021 19:00",1.0
"41951390942","25/03/2021 19:00","25/03/2021 20:00",0.6
"41951390942","25/03/2021 20:00","25/03/2021 21:00",0.2
"41951390942","25/03/2021 21:00","25/03/2021 22:00",0.2
"41951390942","25/03/2021 22:00","25/03/2021 23:00",0.2
"41951390942","25/03/2021 23:00","25/03/2021 23:59",0.2
"41951390942","26/03/2021 00:00","26/03/2021 01:00",0.1
"41951390942","26/03/2021 01:00","26/03/2021 02:00",0.1
"41951390942","26/03/2021 02:00","26/03/2021 03:00",0.1
"41951390942","26/03/2021 03:00","26/03/2021 04:00",0.1
"41951390942","26/03/2021 04:00","26/03/2021 05:00",0.1
"41951390942","26/03/2021 05:00","26/03/2021 06:00",0.3
"41951390942","26/03/2021 06:00","26/03/2021 07:00",0.6
"41951390942","26/03/2021 07:00","26/03/2021 08:00",0.1
"41951390942","26/03/2021 08:00","26/03/2021 09:00",0.1
"41951390942","26/03/2021 09:00","26/03/2021 10:00",0.2
"41951390942","26/03/2021 10:00","26/03/2021 11:00",0.2
"41951390942","26/03/2021 11:00","26/03/2021 12:00",0.1
"41951390942","26/03/2021 12:00","26/03/2021 13:00",0.1
"41951390942","26/03/2021 13:00","26/03/2021 14:00",0.1
"41951390942","26/03/2021 14:00","26/03/2021 15:00",0.1
"41951390942","26/03/2021 15:00","26/03/2021 16:00",0.1
"41951390942","26/03/2021 16:00","26/03/2021 17:00",0.2
"41951390942","26/03/2021 17:00","26/03/2021 18:00",0.5
"41951390942","26/03/2021 18:00","26/03/2021 19:00",0.6
"41951390942","26/03/2021 19:00","26/03/2021 20:00",0.3
"41951390942","26/03/2021 20:00","26/03/2021 21:00",0.5
"41951390942","26/03/2021 21:00","26/03/2021 22:00",0.4
"41951390942","26/03/2021 22:00","26/03/2021 23:00",0.2
"41951390942","26/03/2021 23:00","26/03/2021 23:59",0.1
"41951390942","27/03/2021 00:00","27/03/2021 01:00",0.1
"41951390942","27/03/2021 01:00","27/03/2021 02:00",0.1
"41951390942","27/03/2021 02:00","27/03/2021 03:00",0.1
"41951390942","27/03/2021 03:00","27/03/2021 04:00",0.1
"41951390942","27/03/2021 04:00","27/03/2021 05:00",0.1
"41951390942","27/03/2021 05:00","27/03/2021 06:00",0.6
"41951390942","27/03/2021 06:00","27/03/2021 07:00",0.1
"41951390942","27/03/2021 07:00","27/03/2021 08:00",0.1
"41951390942","27/03/2021 08:00","27/03/2021 09:00",0.1
"41951390942","27/03/2021 09:00","27/03/2021 10:00",0.1
"41951390942","27/03/2021 10:00","27/03/2021 11:00",0.0
"41951390942","27/03/2021 11:00","27/03/2021 12:00",0.1
"41951390942","27/03/2021 12:00","27/03/2021 13:00",0.2
"41951390942","27/03/2021 13:00","27/03/2021 14:00",0.1
"41951390942","27/03/2021 14:00","27/03/2021 15:00",0.1
"41951390942","27/03/2021 15:00","27/03/2021 16:00",0.1
"41951390942","27/03/2021 16:00","27/03/2021 17:00",0.1
"41951390942","27/03/2021 17:00","27/03/2021 18:00",0.6
"41951390942","27/03/2021 18:00","27/03/2021 19:00",0.4
"41951390942","27/03/2021 19:00","27/03/2021 20:00",0.4
